date,today_cost,today_impr,today_clicks,today_conv,7d_cost,7d_impr,7d_clicks,7d_conv
2026-05-27,0.00,12,0,0,0.00,0,0,0
2026-05-28,55.36,18,3,0,79.99,58,7,0
2026-06-09,0.00,0,0,0,0.94,5,2,0
2026-06-10,5.19,13,1,0,70.07,48,14,0
2026-06-12,21.14,40,4,0,188.93,158,34,1
2026-06-15,11.94,22,2,0,369.04,336,67,2
2026-06-17,16.97,22,3,0,436.64,533,79,2
2026-06-18,11.87,11,2,0,445.36,562,81,1
2026-06-19,16.21,12,3,0,469.88,631,85,1
2026-06-23,0.00,0,0,0,542.40,812,101,1
2026-06-24,0.00,0,0,0,469.09,687,87,1
2026-06-25,0.00,0,0,0,397.92,607,74,1
2026-06-26,0.00,0,0,0,316.21,476,60,1
2026-06-29,0.00,0,0,0,75.90,164,16,0
2026-07-01,5.64,2,1,0,50.00,82,11,1
2026-07-02,5.94,5,1,0,105.28,160,21,1
2026-07-07,0.00,0,0,0,256.19,390,49,2
2026-07-08,0.00,0,0,0,206.19,308,38,1
2026-07-09,0.00,0,0,0,150.93,232,29,1
2026-07-10,0.00,0,0,0,94.21,150,18,1
2026-07-12,0.00,0,0,0,285.34,706,49,0
2026-07-13,0.00,0,0,0,285.34,706,49,0
